Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,TotalSpent_RM,Num_of_Baskets,Day,Time_Of_The_Day,buyDrink,temp,feelslike,dew,humidity,precip,precipprob,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions
chinese,female,thin,33.0,yes,young,small,grey,casual,grey,long sleeve,blue_jeans,short,clothes,5,8,yes,38.0,19.0,3.0,Tuesday,Night,1,28.1,30.2,21.0,65.49,0.0,0.0,,31.7,11.7,51.0,1011.4,89.0,9.1,0.0,1.3,0.0,Partially cloudy
foreigner ,female,fat,53.0,yes,toddler,big,red,formal,purple,short_sleeve,blue,short,clothes,5,10,yes,54.0,17.0,2.0,Wednesday,Morning,1,25.1,25.1,21.1,78.51,0.0,0.0,,31.7,5.4,301.0,1011.4,89.0,9.1,0.0,1.3,0.0,Partially cloudy
chinese,male,moderate,59.0,no,baby,big,orange,traditional,black ,long sleeve,white,short,clothes,5,9,yes,29.0,18.0,3.0,Sunday,Morning,1,30.8,31.2,17.1,43.65,0.0,0.0,,31.7,8.8,41.0,1014.8,88.6,11.0,912.5,3.3,9.0,Partially cloudy
indian,female,thin,47.0,yes,toddler ,small,pink,formal,orange,short_sleeve,black,long,blankets,3,8,yes,48.0,14.0,1.0,Saturday,Night,1,26.0,26.0,24.9,93.82,0.0,0.0,,31.7,0.3,19.0,1011.4,89.0,8.1,0.0,1.3,0.0,Partially cloudy
chinese,male,moderate,43.0,yes,no_kids,small,brown,formal,pink,long sleeve,red,long,clothes,5,9,yes,25.0,9.0,1.0,Tuesday,Morning,1,31.0,34.6,22.1,59.08,0.0,0.0,,31.7,11.6,11.0,1011.4,89.0,10.0,909.5,3.3,9.0,Partially cloudy
indian,male,fat,46.0,no,baby,big,white,formal,blue,short_sleeve,blue ,long,blankets,3,7,yes,60.0,17.0,1.0,Thursday,Morning,1,24.0,24.0,23.0,94.15,0.0,0.0,,31.7,0.0,0.0,1011.4,89.0,6.3,0.0,1.3,0.0,Partially cloudy
foreigner ,male,moderate,19.0,yes,toddler,big,white,formal,orange,long sleeve,black,short,blankets,5,9,no,12.0,14.0,3.0,Tuesday,Morning,0,29.0,34.5,25.0,79.06,0.0,0.0,,31.7,5.1,153.0,1011.4,89.0,9.9,559.3,2.0,6.0,Partially cloudy
chinese,female,thin,27.0,no,baby,big,brown,traditional,green,long sleeve,green,long,blankets,3,8,no,43.0,16.0,2.0,Tuesday,Evening,0,26.9,29.9,23.8,83.02,2.136,100.0,rain,31.7,3.7,110.0,1011.1,89.0,10.0,0.0,1.3,0.0,"Rain, Partially cloudy"
chinese,female,moderate,30.0,yes,toddler,small,orange,casual,orange,short_sleeve,blue  ,long,blankets,4,9,no,29.0,19.0,2.0,Friday,Morning,1,27.0,28.0,18.3,58.8,0.0,0.0,,31.7,8.8,33.0,1013.5,88.4,10.0,0.0,1.3,0.0,Partially cloudy
malay,female,moderate,59.0,no,no_kids,big,black,formal,brown,long sleeve,white,long,clothes,6,9,no,25.0,17.0,2.0,Wednesday,Morning,0,31.8,36.6,23.0,59.74,0.0,0.0,,31.7,6.0,78.0,1013.0,88.6,11.4,624.5,2.2,6.0,Partially cloudy
malay,female,fat,22.0,no,baby,big,blue,formal,pink,short_sleeve,black ,short,blankets,4,8,no,36.0,9.0,1.0,Friday,Morning,1,25.0,25.0,23.8,93.02,0.0,0.0,,31.7,1.6,25.0,1011.4,88.2,6.8,0.0,1.3,0.0,Partially cloudy
foreigner ,female,moderate,33.0,yes,no_kids,small,brown,casual,red,long sleeve,white,short,blankets,6,8,yes,50.0,21.0,2.0,Monday,Night,1,28.1,31.4,23.1,74.31,0.0,0.0,,31.7,7.4,293.0,1011.4,89.0,9.1,0.0,1.3,0.0,Partially cloudy
chinese,male,thin,25.0,no,toddler ,big,black,formal,purple,long sleeve,blue_jeans,long,blankets,4,8,no,16.0,11.0,2.0,Monday,Morning,1,25.2,25.2,23.9,92.55,0.0,0.0,,31.7,2.5,309.0,1011.4,90.0,9.1,0.0,1.3,0.0,Partially cloudy
foreigner ,female,fat,49.0,no,baby,small,blue,traditional,pink,long sleeve,green,short,blankets,5,9,no,13.0,14.0,3.0,Friday,Evening,1,29.0,34.5,25.0,79.06,0.0,0.0,,31.7,7.3,340.0,1011.4,98.7,10.0,33.0,0.1,0.0,Overcast
chinese,female,fat,41.0,no,no_kids,big,green,casual,purple,short_sleeve,white,short,blankets,4,7,no,36.0,20.0,2.0,Sunday,Evening,1,28.6,33.9,25.1,81.49,0.015,100.0,rain,31.7,10.6,312.0,1009.7,93.6,9.1,0.0,1.3,0.0,"Rain, Overcast"
malay,male,fat,30.0,no,toddler ,small,purple,traditional,grey,short_sleeve,red,long,clothes,5,10,yes,32.0,20.0,2.0,Friday,Morning,1,29.1,32.0,21.8,65.08,0.0,0.0,,31.7,5.3,187.0,1013.6,89.0,12.3,666.0,2.4,7.0,Partially cloudy
foreigner ,male,thin,33.0,no,young,small,black,casual,brown,long sleeve,green,short,blankets,4,8,no,19.0,12.0,2.0,Monday,Night,1,25.9,25.9,23.0,83.93,0.0,0.0,,31.7,3.6,307.0,1011.4,89.0,9.1,0.0,1.3,0.0,Partially cloudy
malay,male,fat,31.0,no,toddler,big,red,casual,blue,long sleeve,red,long,blankets,5,8,no,36.0,17.0,2.0,Friday,Morning,1,26.1,26.1,23.8,86.93,0.0,0.0,,31.7,6.7,322.0,1011.4,89.0,5.6,0.0,1.3,0.0,Partially cloudy
foreigner ,female,thin,43.0,no,baby,big,yellow,traditional,green,short_sleeve,green,short,clothes,3,7,yes,46.0,9.0,3.0,Wednesday,Night,1,25.7,25.7,24.0,90.57,0.0,0.0,,31.7,1.9,207.0,1012.3,89.0,9.0,0.0,1.3,0.0,Partially cloudy
foreigner ,female,thin,36.0,no,young,small,brown,casual,white,long sleeve,red,long,clothes,3,8,yes,42.0,21.0,1.0,Monday,Morning,1,25.0,25.0,23.8,93.12,0.0,0.0,,31.7,1.9,61.0,1011.9,89.0,10.0,168.6,0.6,2.0,Partially cloudy
malay,female,thin,41.0,no,toddler,big,brown,casual,yellow,short_sleeve,blue,long,clothes,5,9,yes,36.0,9.0,1.0,Wednesday,Evening,1,28.9,33.6,24.2,75.7,0.0,0.0,,31.7,5.6,273.0,1010.5,89.0,10.9,0.0,1.3,0.0,Partially cloudy
indian,female,moderate,56.0,yes,baby,big,purple,formal,black ,short_sleeve,pink,short,blankets,6,8,yes,26.0,15.0,1.0,Thursday,Afternoon,1,30.8,33.0,20.3,53.44,0.0,0.0,,31.7,11.2,71.0,1012.3,89.0,12.5,821.8,3.0,8.0,Partially cloudy
indian,female,fat,37.0,yes,young,small,red,casual,pink,short_sleeve,red,short,blankets,6,7,no,26.0,19.0,3.0,Saturday,Afternoon,0,33.0,38.3,23.2,56.31,0.0,0.0,,31.7,5.4,207.0,1009.6,89.0,11.4,675.8,2.4,7.0,Partially cloudy
malay,male,fat,41.0,no,young,small,white,casual,red,short_sleeve,pink,long,clothes,4,7,yes,34.0,7.0,3.0,Monday,Morning,1,25.1,25.1,23.9,93.26,0.0,0.0,,31.7,0.0,0.0,1013.9,89.0,8.1,166.6,0.6,2.0,Partially cloudy
indian,female,fat,41.0,yes,young,small,brown,traditional,white,short_sleeve,brown,short,blankets,3,10,no,20.0,17.0,2.0,Sunday,Night,1,28.9,34.4,25.0,79.4,0.0,0.0,,31.7,5.0,350.0,1011.4,89.0,8.1,0.0,1.3,0.0,Partially cloudy
malay,male,thin,42.0,no,baby,small,blue,formal,pink,long sleeve,blue_jeans,long,blankets,5,10,yes,31.0,12.0,3.0,Friday,Afternoon,1,33.9,40.4,23.9,56.03,0.0,0.0,,31.7,7.8,210.0,1011.4,89.0,10.0,513.3,1.8,5.0,Partially cloudy
foreigner ,female,moderate,32.0,yes,baby,small,brown,casual,white,short_sleeve,red,short,blankets,5,7,yes,16.0,8.0,2.0,Tuesday,Afternoon,1,31.0,36.7,24.1,66.85,0.0,0.0,,31.7,9.6,319.0,1011.4,89.0,10.0,645.3,2.3,6.0,Partially cloudy
foreigner ,male,moderate,50.0,no,toddler,big,purple,casual,grey,long sleeve,black,short,blankets,4,10,yes,31.0,19.0,2.0,Monday,Morning,1,32.0,36.9,23.1,59.31,0.0,0.0,,31.7,5.7,150.0,1011.4,89.0,10.0,815.3,2.9,8.0,Partially cloudy
malay,male,fat,52.0,no,baby,big,pink,formal,green,short_sleeve,purple,short,blankets,5,8,yes,15.0,16.0,1.0,Saturday,Morning,1,24.9,24.9,23.0,89.3,0.0,0.0,,31.7,3.2,332.0,1011.4,89.0,9.9,0.0,1.3,0.0,Partially cloudy
malay,female,moderate,54.0,yes,no_kids,big,yellow,formal,red,short_sleeve,pink,long,clothes,3,10,no,53.0,21.0,2.0,Tuesday,Evening,1,26.2,26.2,22.9,82.12,0.0,0.0,,31.7,11.7,190.0,1011.4,89.0,9.9,64.0,0.2,1.0,Partially cloudy
indian,male,moderate,43.0,yes,toddler ,small,green,casual,green,long sleeve,yellow,short,clothes,3,9,yes,60.0,17.0,1.0,Thursday,Evening,1,28.1,31.9,23.8,77.72,0.0,0.0,,31.7,16.2,299.0,1008.0,89.0,10.9,123.6,0.4,1.0,Partially cloudy
chinese,female,moderate,27.0,yes,no_kids,big,grey,formal,blue,short_sleeve,pink,short,clothes,4,9,no,49.0,14.0,1.0,Monday,Morning,1,26.2,26.2,24.0,87.44,0.0,0.0,,31.7,7.7,318.0,1012.5,89.0,6.3,0.0,1.3,0.0,Partially cloudy
indian,female,thin,57.0,no,no_kids,big,purple,formal,brown,long sleeve,orange,long,blankets,3,8,yes,27.0,11.0,2.0,Monday,Morning,1,26.1,26.1,23.9,87.99,0.0,0.0,,31.7,0.8,5.0,1011.4,89.0,7.2,0.0,1.3,0.0,Partially cloudy
chinese,male,fat,30.0,yes,no_kids,big,red,traditional,red,long sleeve,brown,long,clothes,6,9,no,58.0,10.0,1.0,Monday,Afternoon,1,32.0,39.2,25.0,66.58,0.0,0.0,,31.7,3.8,196.0,1011.4,89.0,10.0,627.0,2.3,6.0,Partially cloudy
chinese,female,thin,32.0,yes,toddler ,big,yellow,casual,orange,short_sleeve,brown,long,clothes,6,8,yes,60.0,18.0,3.0,Friday,Evening,1,24.9,24.9,24.0,94.6,0.0,0.0,,31.7,2.2,100.0,1011.4,99.2,9.5,0.3,0.0,0.0,Overcast
malay,male,moderate,41.0,no,toddler,small,purple,traditional,blue,long sleeve,blue ,short,clothes,4,7,no,56.0,18.0,1.0,Sunday,Evening,0,26.1,26.1,23.8,86.93,0.0,0.0,,31.7,3.7,350.0,1011.4,89.0,9.1,0.0,1.3,0.0,Partially cloudy
foreigner ,female,moderate,48.0,yes,toddler ,big,brown,formal,pink,long sleeve,blue  ,long,blankets,6,8,no,42.0,12.0,3.0,Friday,Morning,1,25.0,25.0,22.8,87.8,0.0,0.0,,31.7,8.7,322.0,1013.2,89.0,9.0,0.0,1.3,0.0,Partially cloudy
indian,male,moderate,26.0,no,toddler ,big,pink,casual,green,short_sleeve,blue  ,short,clothes,6,8,yes,21.0,19.0,2.0,Friday,Night,1,27.1,31.4,25.9,92.99,0.0,0.0,,31.7,5.9,174.0,1011.4,89.0,5.6,0.0,1.3,0.0,Partially cloudy
malay,male,thin,40.0,no,young,big,grey,casual,purple,short_sleeve,red,short,blankets,3,10,no,17.0,11.0,2.0,Friday,Morning,1,26.9,27.9,18.1,58.66,0.0,0.0,,31.7,4.8,32.0,1011.4,89.0,10.0,0.0,1.3,0.0,Partially cloudy
malay,male,thin,27.0,no,young,small,grey,traditional,white,short_sleeve,blue ,short,blankets,5,8,no,29.0,13.0,1.0,Wednesday,Morning,1,24.0,24.0,21.9,88.2,0.0,0.0,,31.7,1.7,29.0,1011.4,89.0,10.0,37.4,0.1,0.0,Partially cloudy
chinese,female,thin,44.0,no,no_kids,big,blue,formal,purple,long sleeve,brown,short,blankets,4,10,no,11.0,21.0,1.0,Thursday,Morning,0,25.8,25.8,23.8,88.72,0.0,0.0,,31.7,2.2,318.0,1013.2,89.0,6.3,0.0,1.3,0.0,Partially cloudy
foreigner ,male,thin,36.0,yes,baby,big,pink,casual,black ,short_sleeve,black,short,clothes,4,9,yes,21.0,10.0,1.0,Sunday,Morning,0,26.2,26.2,23.1,83.16,0.0,0.0,,31.7,1.8,40.0,1010.4,89.0,9.1,0.0,1.3,0.0,Partially cloudy
malay,male,thin,42.0,yes,toddler,small,black,traditional,black ,long sleeve,orange,short,clothes,6,8,yes,58.0,13.0,3.0,Friday,Morning,1,25.7,25.7,24.1,90.61,0.0,0.0,,31.7,0.4,9.0,1010.2,89.0,8.9,102.1,0.4,1.0,Partially cloudy
foreigner ,male,moderate,36.0,no,toddler,big,blue,formal,yellow,long sleeve,brown,short,blankets,4,10,yes,54.0,10.0,1.0,Saturday,Afternoon,1,32.0,37.9,24.0,62.71,0.0,0.0,,31.7,9.1,320.0,1011.4,89.0,10.0,873.3,3.1,9.0,Partially cloudy
foreigner ,male,fat,56.0,no,young,big,black,casual,brown,long sleeve,purple,short,blankets,4,10,yes,51.0,17.0,3.0,Tuesday,Evening,1,29.0,34.6,25.1,79.4,0.0,0.0,,31.7,5.8,312.0,1011.4,89.0,6.0,68.3,0.2,1.0,Partially cloudy
chinese,male,moderate,22.0,yes,young,small,orange,casual,black,short_sleeve,red,long,clothes,4,10,yes,52.0,21.0,2.0,Thursday,Morning,1,26.8,29.6,24.0,84.77,0.0,0.0,,31.7,1.0,12.0,1010.1,89.0,10.0,0.0,1.3,0.0,Partially cloudy
foreigner ,female,fat,25.0,yes,toddler,small,brown,casual,yellow,long sleeve,black,short,clothes,5,9,yes,54.0,8.0,2.0,Friday,Afternoon,1,34.7,38.6,21.4,45.86,0.015,100.0,rain,31.7,4.0,179.0,1008.7,89.0,13.7,641.8,2.3,6.0,"Rain, Partially cloudy"
malay,female,thin,40.0,no,baby,small,orange,formal,white,short_sleeve,orange,short,clothes,6,9,yes,52.0,19.0,2.0,Friday,Morning,0,30.0,32.0,20.1,55.48,0.0,0.0,,31.7,6.9,16.0,1011.4,89.0,10.0,743.8,2.7,7.0,Partially cloudy
chinese,female,fat,19.0,no,baby,small,purple,formal,black,long sleeve,blue,short,clothes,5,7,no,41.0,17.0,3.0,Wednesday,Morning,1,27.9,32.4,24.9,84.14,0.0,0.0,,31.7,7.4,172.0,1011.4,89.0,7.2,0.0,1.3,0.0,Partially cloudy
malay,male,fat,20.0,no,young,small,black,formal,green,long sleeve,blue,long,blankets,6,8,no,15.0,15.0,1.0,Friday,Night,1,27.1,29.8,23.1,78.79,0.0,0.0,,31.7,1.8,57.0,1011.4,89.0,6.3,0.0,1.3,0.0,Partially cloudy
indian,male,thin,38.0,no,no_kids,small,orange,formal,yellow,long sleeve,blue ,long,clothes,4,8,yes,36.0,20.0,3.0,Sunday,Evening,1,31.9,37.8,24.0,62.98,0.0,0.0,,31.7,9.5,199.0,1011.4,89.0,10.0,79.9,0.3,1.0,Partially cloudy
malay,female,fat,56.0,yes,no_kids,big,blue,traditional,yellow,long sleeve,blue ,short,clothes,5,10,yes,41.0,7.0,2.0,Tuesday,Night,1,28.0,32.7,25.0,83.79,0.0,0.0,,31.7,7.4,311.0,1011.4,89.0,9.1,0.0,1.3,0.0,Partially cloudy
malay,female,moderate,35.0,no,toddler ,small,white,traditional,green,long sleeve,grey,long,clothes,6,10,yes,21.0,16.0,1.0,Sunday,Morning,1,23.9,23.9,21.8,87.56,0.0,0.0,,31.7,0.6,9.0,1011.5,89.0,9.1,0.0,1.3,0.0,Partially cloudy
chinese,female,fat,26.0,yes,toddler ,big,green,casual,green,long sleeve,purple,long,clothes,5,7,no,58.0,17.0,1.0,Wednesday,Morning,0,29.9,35.0,24.1,71.2,0.0,0.0,,31.7,7.4,281.0,1011.4,89.0,10.0,281.8,1.0,3.0,Partially cloudy
indian,male,thin,49.0,yes,toddler,big,white,casual,black,short_sleeve,black,short,clothes,4,9,yes,14.0,9.0,3.0,Friday,Evening,1,27.1,29.8,23.1,78.79,0.0,0.0,,31.7,1.8,57.0,1011.4,89.0,6.3,0.0,1.3,0.0,Partially cloudy
indian,female,fat,49.0,no,young,big,green,formal,orange,long sleeve,yellow,long,clothes,6,8,yes,40.0,9.0,3.0,Friday,Afternoon,1,28.5,33.7,25.0,81.22,0.0,0.0,,31.7,10.5,200.0,1011.4,89.0,9.9,827.8,3.0,8.0,Partially cloudy
chinese,female,moderate,27.0,yes,no_kids,big,red,traditional,orange,long sleeve,purple,long,blankets,6,7,no,41.0,20.0,2.0,Friday,Afternoon,1,32.6,36.4,21.9,53.34,0.185,100.0,rain,31.7,4.0,317.0,1011.0,89.0,12.3,642.0,2.3,6.0,"Rain, Partially cloudy"
indian,male,thin,36.0,yes,no_kids,big,pink,casual,red,short_sleeve,blue_jeans,short,blankets,3,10,no,33.0,18.0,3.0,Friday,Morning,1,24.1,24.1,23.1,94.32,0.0,0.0,,31.7,3.3,312.0,1010.2,89.0,5.4,0.0,1.3,0.0,Partially cloudy
chinese,male,moderate,47.0,no,young,small,pink,formal,white,long sleeve,blue,long,clothes,6,8,no,48.0,14.0,3.0,Friday,Morning,1,25.8,25.8,23.0,84.66,0.0,0.0,,31.7,8.0,109.0,1011.4,89.0,8.9,0.0,1.3,0.0,Partially cloudy
indian,male,moderate,23.0,no,toddler ,big,brown,formal,yellow,short_sleeve,blue_jeans,short,clothes,3,9,no,20.0,16.0,3.0,Wednesday,Morning,1,24.0,24.0,21.9,87.82,0.0,0.0,,31.7,3.6,160.0,1013.1,89.0,11.4,245.1,0.9,2.0,Partially cloudy
chinese,female,moderate,28.0,no,toddler,small,white,casual,black ,long sleeve,blue  ,long,blankets,3,7,no,43.0,15.0,1.0,Saturday,Morning,1,25.9,25.9,24.9,94.64,0.0,0.0,,31.7,2.2,176.0,1011.4,89.0,6.1,0.0,1.3,0.0,Partially cloudy
chinese,male,moderate,18.0,no,young,small,pink,traditional,grey,short_sleeve,orange,short,clothes,3,9,no,17.0,21.0,1.0,Wednesday,Night,0,28.9,32.5,22.9,70.09,0.0,0.0,,31.7,4.1,63.0,1011.4,89.0,9.1,0.0,1.3,0.0,Partially cloudy
indian,male,moderate,45.0,no,toddler ,small,orange,formal,black,short_sleeve,blue ,long,clothes,6,9,yes,36.0,13.0,3.0,Friday,Evening,1,27.6,31.2,24.1,81.29,0.0,0.0,,31.7,12.8,211.0,1010.4,89.0,8.9,300.5,1.1,3.0,Partially cloudy
foreigner ,female,fat,26.0,no,baby,small,yellow,formal,pink,short_sleeve,black ,short,clothes,3,9,no,57.0,19.0,3.0,Saturday,Morning,0,25.0,25.0,24.1,94.71,0.0,0.0,,31.7,1.8,340.0,1009.5,89.0,2.6,0.0,1.3,0.0,Partially cloudy
indian,female,thin,40.0,no,toddler ,small,blue,casual,black,long sleeve,pink,short,blankets,6,7,no,16.0,8.0,3.0,Sunday,Morning,1,29.9,35.1,24.1,70.9,0.0,0.0,,31.7,1.9,100.0,1011.4,89.0,9.9,646.3,2.3,6.0,Partially cloudy
foreigner ,male,thin,52.0,yes,toddler ,small,brown,traditional,purple,short_sleeve,pink,short,clothes,4,10,no,21.0,17.0,1.0,Monday,Morning,1,30.9,35.2,22.8,62.16,0.0,0.0,,31.7,4.2,61.0,1015.4,89.0,12.4,901.5,3.2,9.0,Partially cloudy
malay,female,thin,50.0,yes,toddler ,big,purple,traditional,green,long sleeve,orange,long,blankets,5,8,yes,37.0,19.0,3.0,Monday,Evening,1,31.9,36.7,23.0,59.29,0.0,0.0,,31.7,4.6,60.0,1011.4,89.0,10.0,60.7,0.2,1.0,Partially cloudy
indian,female,thin,34.0,yes,toddler,small,yellow,casual,purple,short_sleeve,pink,short,clothes,3,7,yes,44.0,9.0,3.0,Saturday,Evening,1,31.1,35.4,22.8,61.69,0.0,0.0,,35.3,15.9,269.0,1011.4,89.0,12.8,220.3,0.8,2.0,Partially cloudy
chinese,male,fat,48.0,no,toddler,big,pink,casual,grey,long sleeve,red,short,clothes,5,10,no,40.0,13.0,1.0,Saturday,Morning,1,26.0,26.0,24.0,88.76,0.0,0.0,,31.7,4.0,16.0,1011.4,89.0,7.2,0.0,1.3,0.0,Partially cloudy
indian,male,fat,52.0,yes,young,big,black,formal,red,long sleeve,red,short,blankets,4,9,no,34.0,13.0,3.0,Thursday,Afternoon,1,32.9,36.9,21.9,52.5,0.0,0.0,,31.7,5.0,200.0,1011.4,89.0,10.0,944.3,3.4,9.0,Partially cloudy
chinese,male,thin,26.0,yes,toddler,small,grey,traditional,black,short_sleeve,brown,short,clothes,4,10,yes,16.0,21.0,3.0,Monday,Afternoon,1,28.1,32.1,24.0,78.58,0.0,0.0,,31.7,3.9,59.0,1011.4,99.2,8.1,781.0,2.8,8.0,Overcast
foreigner ,female,moderate,43.0,no,no_kids,big,purple,traditional,yellow,long sleeve,yellow,short,clothes,6,9,no,51.0,8.0,1.0,Thursday,Morning,1,27.0,30.0,23.8,82.51,0.0,0.0,,31.7,3.3,345.0,1011.4,89.0,10.0,0.0,1.3,0.0,Partially cloudy
foreigner ,female,fat,35.0,yes,toddler ,small,white,casual,white,long sleeve,blue_jeans,short,clothes,3,7,no,60.0,7.0,3.0,Wednesday,Evening,1,32.1,35.9,22.0,55.33,0.0,0.0,,31.7,2.1,179.0,1011.4,89.0,10.0,104.2,0.4,1.0,Partially cloudy
foreigner ,female,thin,18.0,no,baby,small,red,casual,white,long sleeve,blue_jeans,short,clothes,4,10,yes,17.0,12.0,1.0,Friday,Afternoon,1,32.9,39.3,24.1,60.3,0.177,100.0,rain,31.7,6.5,272.0,1010.8,89.0,12.2,782.3,2.8,8.0,"Rain, Partially cloudy"
malay,female,moderate,60.0,no,toddler ,big,brown,formal,red,short_sleeve,orange,short,clothes,4,7,yes,36.0,13.0,2.0,Thursday,Afternoon,1,33.0,35.4,20.1,46.65,0.0,0.0,,31.7,8.0,49.0,1011.4,89.0,10.0,463.6,1.7,5.0,Partially cloudy
indian,male,fat,38.0,no,toddler ,big,red,casual,yellow,short_sleeve,blue  ,long,clothes,3,8,yes,19.0,16.0,1.0,Wednesday,Evening,1,25.1,25.1,24.0,93.78,0.0,0.0,,31.7,2.1,19.0,1011.4,89.0,10.0,0.5,0.0,0.0,Partially cloudy
chinese,male,fat,39.0,yes,no_kids,big,red,formal,black ,long sleeve,black,long,blankets,5,8,no,34.0,17.0,2.0,Tuesday,Afternoon,1,33.0,38.1,23.0,55.81,0.0,0.0,,31.7,6.0,40.0,1011.4,89.0,10.0,347.5,1.3,3.0,Partially cloudy
foreigner ,male,thin,27.0,yes,baby,big,pink,formal,blue,long sleeve,orange,long,clothes,4,9,no,53.0,11.0,2.0,Wednesday,Night,0,27.0,28.9,21.1,70.05,0.0,0.0,,31.7,4.0,5.0,1011.4,89.0,9.1,0.0,1.3,0.0,Partially cloudy
malay,male,thin,32.0,no,toddler,big,pink,casual,white,short_sleeve,blue  ,short,blankets,4,9,yes,45.0,16.0,1.0,Tuesday,Night,1,26.0,26.0,23.9,88.37,0.0,0.0,,31.7,3.6,329.0,1011.4,89.0,9.1,0.0,1.3,0.0,Partially cloudy
foreigner ,male,fat,26.0,yes,baby,small,red,traditional,blue,short_sleeve,brown,short,blankets,4,9,no,58.0,7.0,1.0,Monday,Morning,1,26.0,26.0,24.0,88.76,0.0,0.0,,31.7,1.8,89.0,1011.4,89.0,7.2,0.0,1.3,0.0,Partially cloudy
foreigner ,female,fat,29.0,no,toddler,big,grey,formal,green,short_sleeve,yellow,short,clothes,5,10,no,41.0,20.0,1.0,Thursday,Morning,1,31.2,36.6,23.8,65.04,0.0,0.0,,31.7,4.2,188.0,1012.9,89.0,12.3,751.0,2.7,8.0,Partially cloudy
chinese,male,fat,27.0,no,toddler ,small,blue,casual,orange,long sleeve,black ,long,clothes,3,10,yes,11.0,13.0,1.0,Saturday,Evening,1,28.9,34.3,25.0,79.59,0.0,0.0,,31.7,10.7,189.0,1011.4,89.0,10.0,117.2,0.4,1.0,Partially cloudy
malay,male,fat,45.0,yes,baby,big,orange,casual,grey,short_sleeve,orange,short,clothes,4,7,no,22.0,15.0,2.0,Thursday,Morning,1,25.0,25.0,22.1,84.2,0.0,0.0,,31.7,1.7,302.0,1011.4,89.0,9.1,0.0,1.3,0.0,Partially cloudy
foreigner ,male,fat,51.0,no,no_kids,big,green,traditional,green,long sleeve,black ,long,clothes,4,7,yes,59.0,8.0,1.0,Thursday,Afternoon,1,33.0,40.6,25.0,62.93,0.0,0.0,,31.7,17.8,239.0,1011.4,89.0,10.0,467.3,1.7,5.0,Partially cloudy
chinese,male,fat,26.0,yes,no_kids,small,pink,formal,green,long sleeve,black ,long,blankets,4,10,yes,29.0,17.0,3.0,Friday,Evening,1,25.8,25.8,23.9,89.27,11.812,100.0,rain,31.7,5.4,308.0,1011.3,89.0,9.3,0.0,1.3,0.0,"Rain, Partially cloudy"
indian,female,thin,27.0,no,no_kids,big,yellow,traditional,grey,short_sleeve,black ,long,blankets,5,7,no,12.0,11.0,1.0,Tuesday,Morning,1,26.0,26.0,23.9,88.37,0.0,0.0,,31.7,3.9,310.0,1011.4,89.0,9.1,0.0,1.3,0.0,Partially cloudy
malay,male,fat,53.0,yes,no_kids,small,purple,formal,pink,long sleeve,green,long,blankets,4,9,yes,17.0,17.0,2.0,Sunday,Afternoon,1,29.8,34.9,24.1,71.74,0.0,0.0,,31.7,7.3,260.0,1011.4,89.0,10.0,327.9,1.2,3.0,Partially cloudy
foreigner ,female,thin,21.0,yes,toddler,big,brown,formal,green,short_sleeve,black ,short,blankets,5,9,no,23.0,17.0,2.0,Saturday,Night,1,27.9,31.8,24.0,79.26,0.0,0.0,,31.7,1.7,283.0,1011.4,89.0,10.0,0.0,1.3,0.0,Partially cloudy
indian,female,thin,60.0,yes,baby,big,brown,casual,brown,long sleeve,red,long,blankets,5,7,no,17.0,16.0,3.0,Tuesday,Afternoon,0,34.8,46.0,26.8,63.31,0.0,0.0,,31.7,9.6,323.0,1011.4,89.0,10.0,773.0,2.8,8.0,Partially cloudy
malay,female,fat,26.0,no,no_kids,big,orange,formal,green,long sleeve,blue,long,clothes,5,8,no,27.0,14.0,2.0,Sunday,Night,1,25.1,25.1,23.9,92.89,0.0,0.0,,31.7,3.8,83.0,1011.4,89.0,9.1,0.0,1.3,0.0,Partially cloudy
foreigner ,male,moderate,47.0,yes,baby,small,blue,traditional,brown,short_sleeve,orange,short,clothes,4,9,yes,38.0,7.0,2.0,Sunday,Morning,1,25.1,25.1,23.9,93.37,0.0,0.0,,31.7,0.3,5.0,1011.4,89.0,7.2,0.0,1.3,0.0,Partially cloudy
malay,female,fat,56.0,no,toddler,big,red,formal,orange,short_sleeve,blue  ,long,blankets,3,10,yes,41.0,10.0,3.0,Tuesday,Afternoon,0,25.4,25.4,24.0,91.76,0.0,0.0,,31.7,7.6,61.0,1009.1,89.0,6.3,110.1,0.4,1.0,Partially cloudy
malay,male,fat,36.0,yes,young,small,orange,casual,purple,short_sleeve,blue,short,clothes,6,10,yes,28.0,21.0,2.0,Tuesday,Night,1,25.3,25.3,23.9,92.2,0.0,0.0,,31.7,2.2,58.0,1013.7,89.0,7.1,0.0,1.3,0.0,Partially cloudy
malay,male,fat,30.0,no,toddler,big,white,casual,white,short_sleeve,purple,short,blankets,6,7,yes,43.0,20.0,1.0,Tuesday,Morning,1,25.2,25.2,23.7,91.49,0.0,0.0,,31.7,2.1,320.0,1011.7,89.0,6.3,0.0,1.3,0.0,Partially cloudy
